t_index                term    df
12601                lacki     1
12602             sarajevo     4
12603               ecstat     1
12604           sternavich     1
12605          herzegovina     1
12606              predrag     1
12607           trichovich     1
12608               shebek     1
12609              radicor     1
12610             beresich     1
12611            vlatislav     1
12612               arrear     1
12613              montono     1
12614               corech     1
12615             woodword     1
12616              montelo     1
12617               jumper     1
12618               beater     3
12619                onlin     1
12620             toll-fre     2
12621                  mac     4
12622          dallas-fort     2
12623                  132     1
12624                 tori     1
12625             bondjump     1
12626         stringfellow     5
12627          express-new     1
12628           criminolog     1
12629                caeti     1
12630              wheeler     3
12631           128-player     1
12632               bryann     1
12633                berth     2
12634            christina     3
12635            dominikov     4
12636              enqvist     1
12637                  evi     4
12638                 dows     1
12639              annabel     1
12640               amanda    17
12641              ellwood     1
12642                paubl     1
12643                   hz     1
12644              lookout     3
12645             audiotap     1
12646                   sa     1
12647                _onli     1
12648                  _if     1
12649            al-harazi     2
12650            al-badawi     1
12651                corpu     1
12652              culpabl     1
12653          broad-brush     1
12654                 seam     4
12655          anticlimact     1
12656               insinu     1
12657            shipboard     1
12658  written-by-committe     1
12659              10-page     2
12660             138-page     2
12661              purport     1
12662         beaumont-bas     1
12663             chronicl     2
12664            blanchard     1
12665                 clad     1
12666              ratliff     1
12667            sugarcoat     1
12668           ultralight     3
12669               pervas     1
12670                natop     1
12671             prescrib     3
12672               tenaci     1
12673                arbit     1
12674                   hq     1
12675             unimagin     3
12676                 evan     5
12677                 holf     1
12678            intransit     1
12679              pro-act     1
12680              000-plu     1
12681         single-digit     1
12682       longest-sought     1
12683             oilfield     1
12684                osseo     1
12685            half-pric     1
12686             coffield     1
12687               charad     1
12688               waight     1
12689               bounti     1
12690                bevan     1
12691                 orat     2
12692            front-run     2
12693                fieri     3
12694              1985-90     2
12695               brokaw     1
12696               memoir     1
12697             medalist     5
12698               kiefer     4
12699               dismal     1
12700                 juan    17
12701               tuneup     2
12702              ferrero    12
12703              two-tim     8
12704                escud     3
12705            eight-man     1
12706                elbow     7
12707                olsen     3
12708           short-staf     1
12709            ill-advis     1
12710              whitmir     1
12711                  752     1
12712               attrit     1
12713                 rape     8
12714             scariest     1
12715                  918     1
12716              lubbock     1
12717            understaf     1
12718             thriller     1
12719               brazen     1
12720                  267     2
12721             armbrist     1
12722          longer-term     2
12723                aberr     1
12724            unconvinc     1
12725                 nagl     1
12726              mindset     1
12727               terrel     1
12728        star-telegram     1
12729                  116     2
12730             argentin     1
12731            brazilian     1
12732            guillermo     1
12733                 vila     1
12734              1977-81     1
12735               warmup     4
12736              disgust     1
12737                  3-6    23
12738              bracket     1
12739                  5-4    11
12740            long-simm     2
12741             croatian     2
12742             long-res     2
12743             contempt     9
12744          functionari     2
12745                delus     2
12746            puffed-up     2
12747              fiction     2
12748               tyrant     2
12749          ever-shrink     2
12750                 itch     2
12751              witless     2
12752             demagogu     2
12753                mutil     2
12754              egotist     2
12755              showcas     2
12756                 plug     2
12757             dishonor     2
12758              placard     1
12759               commot     1
12760                  pop     1
12761               molest     1
12762             terribly     1
12763              tune-up     1
12764                olden     1
12765                  $34     2
12766                  $42     2
12767               2-hour     4
12768                haley     1
12769                  595     1
12770               hawley     1
12771                  622     1
12772                  wax     1
12773            rodriquez     2
12774                 crap     1
12775             warehous     3
12776                olson     1
12777               pillow     1
12778              all-tim     1
12779               throat     2
12780             staffinr     1
12781             connelli     1
12782               cetera     1
12783                 coon     1
12784                 hefe     1
12785         psychiatrist     1
12786            marroquin     1
12787             terrifng     1
12788              connoli     1
12789                  gag     1
12790              scapego     1
12791         down-correct     1
12792             overtook     1
12793               hymlek     1
12794            one-by-on     1
12795              16-page     1
12796                 _how     1
12797             anglican     1
12798                 _for     1
12799                comic     1
12800                  1-2     5
12801             _whether     1
12802               rashad     1
12803              peddler     1
12804              chaplin     1
12805            newsstand     1
12806               abnorm     1
12807              motahar     1
12808                _what     1
12809                clown     1
12810                tanja     1
12811               indulg     1
12812            mihailova     1
12813              dragana     1
12814                kovac     1
12815                ilija     1
12816                  jul     1
12817                bobic     1
12818                 knez     1
12819            toothless     1
12820               exuber     1
12821                habit     2
12822          semi-reform     1
12823                 crue     1
12824              redress     1
12825              mamansk     1
12826             prestigi     1
12827             radioact     1
12828              fisheri     1
12829               1-hour     3
12830              shotmak     1
12831             20-minut     1
12832          knippschild     1
12833            brilliant     3
12834                vanek     9
12835           third-plac     1
12836                  4-3     5
12837                sizzl     2
12838              rematch     5
12839            nicaragua     3
12840            guatemala    23
12841         philanthropi     4
12842           jump-start     1
12843           off-season     2
12844            demystifi     1
12845            threadbar     1
12846                encor     1
12847                 purs     1
12848                trait     1
12849            laid-back     1
12850       well-establish     1
12851               sydney    10
12852             clijster    11
12853       back-and-forth     1
12854             mosquito     1
12855           sixth-seed     3
12856            well-earn     1
12857         record-break     1
12858           lumberjack     1
12859                crest     2
12860              waifish     1
12861                rivet     1
12862            overtaken     1
12863                refin     1
12864           third-seed     9
12865             catch-up     1
12866             22-match     3
12867              stamina     1
12868              sharper     1
12869               hollow     1
12870           stealthili     1
12871             devilish     1
12872               reebok     1
12873              annacon     1
12874                elena     6
12875                 quip     1
12876                rusti     2
12877           dementieva     5
12878                 bork     1
12879          crime-fight     1
12880              renomin     1
12881          first-degre     1
12882           pro-crimin     1
12883                 dove     1
12884                ronni     1
12885              no-show     1
12886               no-vot     1
12887              mcclure     1
12888              one-vot     1
12889                  8-8     1
12890             evenhand     1
12891            judgeship     1
12892            race-bait     1
12893                  8-7     1
12894                kenni     1
12895               upheld     1
12896                troup     1
12897               quinci     3
12898                naacp     1
12899          law-and-ord     1
12900        then-missouri     1
12901               jurist     1
12902               racism     1
12903                 anna    21
12904                 ouof     1
12905                likin     2
12906               miguel    11
12907              rondero     2
12908             slavador     1
12909              santana     1
12910                flaku     3
12911                imped     3
12912               florez     2
12913                  tod     2
12914              twelfth     1
12915                 clod     1
12916              humbler     1
12917                slope     2
12918                tenth     3
12919              grosanc     1
12920         convincingli     1
12921           laquawensa     1
12922        mid-afternoon     5
12923              surreal     4
12924              acrobat     5
12925                  ana     7
12926                circu     3
12927               spotti     6
12928                lopez     6
12929         116-year-old     6
12930               dancer     3
12931             sosonati     7
12932             500-foot     5
12933             cellular    10
12934          41-year-old     4
12935               arturo     6
12936               magana     6
12937             calvario     6
12938            jalpataua     5
12939             honduran     6
12940        suchitepequez     5
12941                 jaim     5
12942           6-magnitud     9
12943                geoff     1
12944                amend     2
12945               jelena     8
12946                 luck     4
12947                dokic     9
12948                  wta     2
12949           sun-herald     1
12950                damir     3
12951                   81     3
12952             watchman     3
12953              rendero     2
12954         middle-class     8
12955               emilio     2
12956             reynaldo     1
12957           cordillera     1
12958            maradiaga     1
12959             bathroom     3
12960               jhonni     1
12961              balsamo     1
12962              antonia     6
12963                   iv     1
12964          quake-trigg     3
12965                 ramo     1
12966             sukiyaki     1
12967                 stew     1
12968                asahi     1
12969                  ath     1
12970               hygien     1
12971           much-await     1
12972          four-person     1
12973                 1200     2
12974         three-person     1
12975             000-seat     5
12976                aussi     9
12977     retractable-roof     1
12978                 peak     1
12979              vodafon     7
12980          trophy-hunt     1
12981            half-hour     2
12982           franciscan     2
12983           blood-chil     2
12984             half-mil     2
12985                huski     2
12986               kathia     3
12987             jackhamm     2
12988          34-year-old     2
12989               ortega     2
12990            earth-mov     2
12991                 surf     2
12992               lobito     2
12993            household     3
12994              palacio     2
12995                danah     4
12996          electrician     3
12997                   ay     2
12998             earthmov     3
12999               housew     2
13000               digger     3
13001              machaca     3
13002           tablecloth     2
13003               virgin     2
13004             guadalup     2
13005               ferrer     1
13006                morgu     8
13007             mauricio     1
13008                  234     2
13009              sanchez     8
13010                drift     3
13011            body-hunt     3
13012         eighty-seven     2
13013            comasagua     5
13014                  193     1
13015                  692     3
13016                  148     3
13017            impercept     1
13018         zacatecoluca     1
13019              curtain     3
13020           lindenhurt     2
13021            post-quak     2
13022                ainst     1
13023        300-yards-wid     1
13024              mudslid     5
13025                   wc     1
13026               sander     1
13027           missionari     3
13028                  hap     1
13029     search-and-rescu     1
13030             aftehock     1
13031               dimmer     1
13032               lvador     1
13033              murdoch     1
13034            seven-pag     1
13035             treasuri     2
13036             perelman     1
13037               benito     1
13038               charit     5
13039                nolan     1
13040                  $47     3
13041                  sec     3
13042                 beth     1
13043                ruder     1
13044               rupert     1
13045                  mci     1
13046               romano     1
13047                   fl     1
13048            miami-dad     2
13049              miami-d     1
13050        quick-respons     1
13051                 info     1
13052            firerescu     1
13053              madison     3
13054            prepackag     1
13055                  6-0    26
13056              lorenzo     6
13057               testud     9
13058             antibiot     5
13059           kournikova    22
13060               blanco     7
13061                 glue     4
13062                 galo     8
13063             stickier     4
13064             stafford     4
13065             slovakia     8
13066           hantuchova     6
13067                 viru     7
13068               8-seed     1
13069              daniela     6
13070                 alun     6
13071                arazi     7
13072                  1-0     6
13073             low-grad     4
13074              sandrin    10
13075              rippner     6
13076                 brie     6
13077               hicham     6
13078                  1-6     9
13079                 0-15     6
13080               henman    12
13081                 ould     1
13082             karadich     1
13083          choreograph     1
13084                 onal     1
13085             frontlin     1
13086                 hass     1
13087               ivanak     1
13088                taker     1
13089           scounscoun     1
13090                  rad     1
13091            worriesom     1
13092                  kft     1
13093                 flea     1
13094              radford     1
13095             sarvings     1
13096            jurisdict     2
13097                 nati     1
13098          celebrateor     1
13099               demick     1
13100                 alou     1
13101               gladli     1
13102              radavan     1
13103          eighth-seed     6
13104                barna     4
13105                 anca     4
13106             henrieta     3
13107              nagyova     3
13108                  4-6     9
13109           castellano     2
13110               hourli     1
13111               afredo     1
13112                  182     2
13113          coffee-pick     1
13114         quake-crippl     1
13115          mountainsid     6
13116                 snif     3
13117               carman     1
13118          quake-damag     1
13119                gladi     1
13120               moreno     8
13121               sergio     8
13122               gurney     1
13123                 doze     1
13124                coron     2
13125                lucio     2
13126                  660     1
13127       1-800-help-now     2
13128       1-800-257-7575     2
13129                triag     1
13130             geofferi     1
13131             moroccan     1
13132               casual     2
13133              heuberg     1
13134                karim     1
13135                 youn     1
13136              tantrum     1
13137              aynaoui     1
13138                alami     1
13139             ferreira     3
13140                 mope     1
13141               hichim     1
13142                  ivo     1
13143              therapi     1
13144                 cruz     1
13145             marbella     1
13146                mildr     1
13147                 mama     1
13148               sandov     1
13149                 torr     1
13150            half-buri     1
13151           bone-weari     1
13152              stammer     1
13153              unclaim     2
13154            stern-fac     1
13155              alfredo     1
13156           sweat-soak     1
13157           bloodstain     1
13158              starkli     1
13159            third-set     3
13160              dominik    16
13161             jean-ren     2
13162             husarova     2
13163               chanda     3
13164             47-minut     2
13165           second-set     2
13166      quarterfinalist     4
13167         semifinalist    12
13168               piolin     6
13169              lisnard     2
13170               hrbati    16
13171               draper     2
13172                  5-3     9
13173          cross-court     2
13174              137-133     2
13175               lopsid     4
13176                 deuc    12
13177                marit     2
13178               cedric     6
13179          sanguinetti     2
13180             conchita     3
13181               janett     2
13182   government-sponsor     1
13183           make-shift     1
13184            candiotti     2
13185                  jug     1
13186               kucera     3
13187                stiff     3
13188                karol     3
13189          then-presid     1
13190                jessi     2
13191            pittsburg     2
13192               toilet     3
13193               taylor     2
13194                  mow     2
13195          81-year-old     3
13196                massi     2
13197                 cush     2
13198                 payn     2
13199                sterl     3
13200                 okla     2
13201              mcalest     3
13202             claiborn     1
13203         dazesurvivor     1
13204                thaul     1
13205           echeverria     1
13206         dirt-entrust     1
13207              bonilla     1
13208              unrecov     1
13209              utensil     1
13210                tegla     1
13211                 bean     3
13212             cellphon     2
13213            komasagua     1
13214               calena     1
13215                sniff     1
13216               traips     1
13217             spaniard     2
13218                tekla     2
13219                 doll     1
13220                blous     1
13221                alpin     1
13222              compact     1
13223                elton     1
13224                sadli     1
13225           vilonuaeva     1
13226              balonia     1
13227               wainek     1
13228                elana     1
13229              kuchera     1
13230              blocker     1
13231        anti-diarrhea     1
13232                calix     1
13233             televisa     1
13234              eduardo     1
13235              analges     1
13236                 opec     1
13237               milroy     1
13238               abomin     1
13239                lauri     1
13240              reenerg     1
13241                 veng     2
13242               kipper     1
13243              displac     2
13244                 aziz     1
13245              disarma     1
13246                   97     1
13247               disarm     1
13248               unscom     1
13249             mcarthur     1
13250               tenabl     1
13251               dopher     1
13252               replic     1
13253                 kurd     1
13254              obliter     2
13255               pencil     1
13256              landown     1
13257               cinder     1
13258            chauffeur     1
13259                ortiz     3
13260                cheek     1
13261                  900     1
13262             law-abid     1
13263           bipartisan     2
13264            death-row     1
13265                liken     1
13266        pumpkin-color     1
13267            greenleaf     1
13268            americorp     1
13269         partisanship     2
13270               backho     1
13271                reloc     1
13272              12-year     2
13273             avalanch     1
13274          scooped-out     1
13275                 zinc     1
13276               acosta     1
13277                chomp     1
13278             usulutan     1
13279               cranni     1
13280          post-disast     1
13281           four-block     1
13282                 tile     2
13283               abrego     1
13284             bullzdoz     1
13285                clump     1
13286              luciano     1
13287               gawker     1
13288            cafetalon     1
13289               chocol     1
13290                 adob     1
13291           9-year-old     1
13292                ortel     1
13293              agustin     1
13294                  185     2
13295                  609     2
13296              plantat     4
13297              barrera     2
13298                  412     2
13299              carmelo     2
13300               raquel     2
13301             taiwanes     2
13302                greed     1
13303              navarro     1
13304            ecologist     1
13305             shepherd     4
13306                 ajax     1
13307                scari     2
13308                repor     1
13309               deterg     1
13310            jailbreak     1
13311               cummin     2
13312                floss     1
13313             entireti     1
13314            cellblock     1
13315               dental     1
13316                 $440     2
13317                  vij     1
13318             high-max     1
13319      internet-stream     1
13320                  648     1
13321               vantag     1
13322              earshot     1
13323                  yug     1
13324                 khai     1
13325               collag     1
13326               ludwig     1
13327                 1008     1
13328                  672     1
13329                 hoss     1
13330              brevant     1
13331              malcolm     2
13332              bravent     1
13333              24-hour     1
13334          salvadorian     2
13335                santo     1
13336              schultz     1
13337                takla     1
13338               calina     1
13339           floodlight     1
13340                outli     1
13341             2-storey     1
13342               serheo     1
13343              mammoth     2
13344                pelvi     1
13345             year-old     1
13346              lanchin     1
13347              edwardo     1
13348            espehello     1
13349              morrano     1
13350               harrow     1
13351               castil     1
13352              floresc     1
13353                  677     1
13354            dirt-pack     1
13355              fidelia     2
13356                 15th     5
13357            lightbulb     1
13358                cadav     1
13359             detector     1
13360              taffeta     1
13361             homework     1
13362                olivo     1
13363            heartbeat     2
13364                mover     3
13365                album     1
13366          magnitude-5     1
13367               trundl     1
13368                 cagl     1
13369              natalia     1
13370                 plow     2
13371              guardao     2
13372    earthquake-driven     1
13373                 niec     1
13374                  ili     4
13375                146th     1
13376               clavet     1
13377                   yi     1
13378           three-sett     2
13379             canberra     1
13380               mutter     1
13381               miriam     1
13382               oreman     1
13383              floater     1
13384               sooooo     1
13385            jing-qian     1
13386            pitkowski     1
13387                sarah     1
13388          career-high     1
13389                 48th     1
13390               crabbi     1
13391                 12-0     1
13392                 vibe     1
13393                 fare     1
13394                  arn     3
13395         early-season     1
13396           sheepishli     1
13397             vavrinec     1
13398              belgian     5
13399                henin     3
13400                greta     3
13401               4-seed     1
13402             lapentti     1
13403            miroslava     2
13404  earthquake-stricken     1
13405                  124     2
13406                  140    11
13407             veronica     1
13408           7-year-old     1
13409               purifi     1
13410                puddl     1
13411              restock     1
13412                snake     1
13413             tortilla     1
13414                683rd     1
13415             housewif     1
13416                  682     1
13417              marcela     1
13418              subsist     1
13419                 pena     1
13420              gatorad     1
13421          scaled-back     1
13422        slaughterhous     1
13423             betrisia     1
13424                  lid     1
13425         near-miracul     1
13426            cardboard     1
13427                 rosa     2
13428            vallentin     1
13429               creaki     2
13430            firecrack     2
13431                13-14     2
13432              bombard     2
13433             stop-gap     1
13434               ferret     2
13435                tomic     2
13436                bodon     1
13437            goldstein     4
13438              lindsey     2
13439                heali     1
13440               lipent     1
13441              clister     1
13442                testu     1
13443               arbadi     1
13444            slovakian     1
13445             galiardi     1
13446              varonec     1
13447             emmanuel     3
13448                  8-6    11
13449               oloroc     1
13450              ferraro     1
13451              bradman     1
13452            fortnight     1
13453                juana     1
13454             rotaviru     2
13455               desvid     1
13456                 drip     1
13457   eighteen-month-old     1
13458               wither     1
13459             ideologu     1
13460              designe     1
13461             war-room     1
13462                _like     1
13463               r-ohio     1
13464                negat     1
13465           hot-button     1
13466              mellman     1
13467                 paig     1
13468                 alma     1
13469               r-iowa     1
13470                  raw     2
13471            soon-to-b     1
13472             grassley     1
13473                 fest     1
13474       down-the-middl     1
13475             courtesi     1
13476              racicot     1
13477                garin     1
13478           inquisitor     1
13479             roderick     2
13480             desegreg     1
13481               norton     1
13482              portman     1
13483            voinovich     1
13484                snipe     1
13485                grudg     1
13486             unreason     2
13487             geoffrey     3
13488       bipartisanship     1
13489       obstructionist     1
13490             navasota     1
13491            prankster     1
13492             huntsvil     1
13493            uninhabit     1
13494              mystiqu     1
13495              fillmor     1
13496             acquaint     1
13497         walkie-talki     1
13498                 cach     2
13499                stymi     1
13500              amplifi     1
13501                blunt     2
13502              tipster     1
13503              scanner     2
13504                coher     1
13505                 rita     6
13506              coetzer    16
13507             five-set     6
13508                  ami     2
13509              low-cut     2
13510                ameli     6
13511          shaughnessi     3
13512               fidget     2
13513                 diaz     2
13514              ensembl     2
13515            five-sett     2
13516             two-piec     2
13517              silvija     2
13518              mariana     2
13519                 16th     2
13520             mauresmo     6
13521                 14-7     2
13522              meghann     3
13523               talaja     2
13524                oliva     2
13525              frazier     2
13526                pratt     2
13527               callen     3
13528            siemerink     1
13529               farera     1
13530                 ausi     1
13531              quarten     1
13532                gaell     1
13533                sidot     1
13534              1997-99     1
13535                renna     1
13536           hingis-sel     1
13537                stubb     1
13538              titlist     2
13539           stunningli     2
13540             normalci     1
13541              stopgap     1
13542              kuerton     1
13543             rusedski     4
13544                  9-7     7
13545               homili     1
13546             rightist     1
13547              hammock     1
13548             bautista     1
13549               biblic     1
13550             gregorio     1
13551                tenac     1
13552                 naiv     1
13553               methyl     1
13554                  119     1
13555                dengu     1
13556             diarrhea     2
13557                 ware     1
13558            monsignor     1
13559              painter     1
13560                unman     1
13561               wingat     1
13562            undescrib     1
13563             50-calib     1
13564           electrocut     1
13565                 moth     1
13566           passageway     1
13567             shrapnel     1
13568                ussol     1
13569           half-eaten     1
13570                 soot     1
13571                  135     2
13572          rock-bottom     1
13573          maquiladora     1
13574                  687     1
13575  assembly-for-export     1
13576              espitia     1
13577              harvest     1
13578           coffee-rel     1
13579              nadejda     1
13580               farina     3
13581               silvia     3
13582              easiest     2
13583              warmest     1
13584              petrova     1
13585               tabara     3
13586                 yank     2
13587               2-seed     1
13588               michal     3
13589                feast     1
13590                 elia     4
13591                nuria     3
13592              cleanli     1
13593         next-to-last     1
13594           llagostera     3
13595            three-set     8
13596                  2-0     5
13597                chela     4
13598                 jana     1
13599              ignacio     4
13600                  5-0     5
13601             ulihrach     2
13602         fourth-round     5
13603                rochu     2
13604             dragomir     2
13605             ruxandra     2
13606             93-degre     2
13607             paycheck     2
13608               bohdan     2
13609     serve-and-volley     5
13610             prinosil     2
13611              rittner     4
13612              pascual     2
13613               superb     2
13614                   08     2
13615              marrero     2
13616              youzhni     2
13617                ruano     2
13618                marta     2
13619               schett     3
13620            gagliardi     2
13621          crowd-pleas     2
13622           kratochvil     2
13623                emili     2
13624                 loit     1
13625            underpaid     1
13626             overpaid     1
13627              refresh     2
13628            guardsmen     2
13629               quorum     2
13630          face-to-fac     1
13631          whistleblow     1
13632              perjuri     6
13633           cliff-hang     1
13634               disbar     4
13635                 judd     4
13636               deceit     1
13637               admiss     2
13638             harrison     2
13639                tripp     1
13640              thing99     1
13641                paula     2
13642               kendal     1
13643            knowingli     1
13644              cisnero     7
13645            valiantli     1
13646             acrimoni     2
13647                wanna     1
13648          voluntarili     2
13649                 lamb     1
13650              panther     1
13651               unborn     1
13652               karuth     1
13653            co-defend     1
13654               jerica     1
13655                  680     1
13656              tamarin     4
13657            13th-seed     1
13658            frenchmen     1
13659              virgini     4
13660           tanasugarn     3
13661              0-for-5     1
13662               harvey     1
13663                  4-2     6
13664               sunbak     1
13665          frenchwoman     2
13666                umpir     6
13667            johansson     3
13668            gentlemen     1
13669              razzano     4
13670       hingis-razzano     1
13671          break-point     1
13672              matchup     6
13673              overbil     1
13674               deplan     1
13675              ventura     1
13676                nanni     1
13677               sunris     1
13678          70-year-old     1
13679                unwis     2
13680                 spat     1
13681             uninform     1
13682          gop-control     1
13683                 lent     1
13684           more-limit     1
13685               viktor     1
13686               despot     1
13687            pooh-pooh     1
13688             thiessen     1
13689         straight-set     1
13690               bitten     1
13691            seven-gam     2
13692                  2-4     3
13693                 daja     2
13694               marlen     2
13695                paola     3
13696             thailand     2
13697                   93     3
13698            thermomet     2
13699             bedanova     2
13700                swede     2
13701            calatrava     2
13702            chladkova     3
13703            weingartn     2
13704                groov     2
13705             courtsid     2
13706               suarez     3
13707                  4-4     4
13708               cooler     2
13709                  6-7    13
13710             burgsmul     2
13711          vinciguerra     2
13712               denisa     3
13713            undertook     1
13714          philanthrop     3
13715             mishandl     6
13716               hearst     9
13717               deutch     8
13718                blitz     1
13719             fierrera     1
13720          tanasugarin     1
13721                 moya    10
13722                  1-4     3
13723               fugazi     5
13724                 conn     1
13725               cherri     2
13726              delight     5
13727               haight     1
13728            submachin     2
13729                  295     1
13730           bankruptci     4
13731              danburi     1
13732              interst     2
13733                blunk     1
13734               gutman     1
13735                  740     1
13736              58-year     1
13737               nanuet     1
13738            pageantri     2
13739             last-day     1
13740             lafayett     2
13741                 bibl     4
13742              glisten     1
13743             two-step     1
13744                 1953     1
13745                  ave     1
13746                foyer     2
13747                 pomp     1
13748                vista     1
13749                 54th     1
13750            anti-bush     1
13751               drizzl     1
13752            roosevelt     1
13753                sheaf     1
13754              herbert     1
13755              heiress     5
13756         half-million     1
13757                jenna     2
13758                 1876     1
13759                 1909     1
13760            rain-soak     1
13761          hairbreadth     1
13762                 1600     1
13763             black-ti     2
13764            rehnquist     2
13765              drizzli     1
13766                 7777     1
13767               hurrah     1
13768           half-broth     1
13769        stephanopoulo     1
13770            beschloss     1
13771          clintonesqu     1
13772            masquerad     1
13773                pager     1
13774              podesta     1
13775                 spun     1
13776            hand-shak     1
13777             driveway     1
13778           monticello     1
13779           collar-pin     1
13780                elong     1
13781                  747     1
13782                28000     1
13783            undisturb     1
13784            touchdown     1
13785               21-gun     2
13786                  168     1
13787              calhoun     1
13788                 haut     1
13789               shuler     1
13790                 1963     2
13791                 terr     1
13792 associate-turned-inform     3
13793              hubbard     1
13794              mcveigh     1
13795              foothil     6
13796                  6-5     6
13797                  2-1     1
13798               unwarr     1
13799              11-judg     1
13800           three-judg     1
13801              35-year     3
13802                cuomo     3
13803              reynold     4
13804              14-year     3
13805            brainwash     3
13806               univis     3
13807               2-year     3
13808             biograph     3
13809              unsecur     4
13810             rockland     4
13811            macdonald     4
13812                 hast     3
13813               ex-new     3
13814            unprotect     4
13815               navajo     4
13816                   sr     3
13817               probat     5
13818               ingest     2
13819            symbiones     4
13820           seven-year     3
13821             gillespi     2
13822              underag     4
13823               melvin     4
13824                 alce     3
13825                  $75     3
13826               then-u     3
13827          once-promin     3
13828      spanish-languag     3
13829         under-achiev     1
13830                stump     1
13831            symington     2
13832               _linda     1
13833              ex-hous     1
13834                 fife     2
13835               abscam     1
13836               startl     2
13837                recit     1
13838                 wist     1
13839             pomp-fil     1
13840                  947     1
13841                  539     1
13842                rider     1
13843                 cart     1
13844              campbel     1
13845           texas-wyom     1
13846                 gosh     1
13847              stoical     1
13848          expectantli     1
13849   republican-control     1
13850                  271     1
13851                 41st     1
13852           all-import     1
13853                apron     1
13854             five-vot     1
13855                bundl     1
13856                 1881     1
13857         totalitarian     1
13858     revolution-handl     1
13859                 inim     1
13860            co-author     1
13861               totter     1
13862                 eyal     1
13863       post-communist     1
13864      coalition-build     1
13865             pinochet     1
13866            instantan     2
13867                quash     1
13868                virul     1
13869             slow-mov     1
13870            zeitgeist     1
13871            ceausescu     1
13872                duval     1
13873            ferdinand     1
13874             catalyst     1
13875            post-cold     1
13876                pragu     1
13877              khaldei     1
13878          dictablanda     1
13879            tiananmen     1
13880            dictadura     1
13881                brood     1
13882              persuas     1
13883                 apex     1
13884             paradigm     1
13885            reichstag     1
13886            fear-mong     1
13887                starr     1
13888          arkadelphia     1
13889              apprais     2
13890             misappli     2
13891      government-back     1
13892               tucker     1
13893             guaranti     2
13894           russellvil     1
13895             15-month     1
13896                 tech     1
13897                  3-1     2
13898                 josh     1
13899             gerstein     1
13900              thepaid     1
13901                   ry     1
13902          higher-rank     1
13903               1-rank     1
13904                  huh     3
13905                debut     1
13906                  3-3     1
13907              15-seed     2
13908          half-volley     1
13909           clay-court     1
13910                 drub     1
13911            fifth-set     1
13912              red-hot     1
13913               scorch     1
13914              blister     2
13915                 darn     1
13916                 trio     1
13917             out-serv     1
13918             brokerag     1
13919                eaker     1
13920                 cure     1
13921                corni     1
13922           misconduct     1
13923               drexel     1
13924              deutsch     1
13925                genom     1
13926           for-profit     1
13927               darden     1
13928              shapiro     1
13929               celera     1
13930                repay     2
13931               turner     1
13932               broder     1
13933             uncommon     1
13934                 wick     1
13935             epiphani     1
13936             stubborn     1
13937               splash     1
13938           going-away     1
13939            shoot-out     1
13940             flawless     2
13941            slow-foot     1
13942                gaudi     1
13943               memphi     1
13944                swipe     1
13945             unsteadi     1
13946          second-serv     2
13947                 17-2     1
13948                  aha     1
13949             tempestu     1
13950                 sage     1
13951               percol     1
13952              malivai     1
13953             home-bas     2
13954            14th-seed     1
13955             langston     1
13956              citadel     1
13957              600-acr     1
13958            cleveland     1
13959             non-viol     1
13960                irish     1
13961            high-grad     1
13962           watermelon     1
13963                 leas     1
13964                 duan     1
